age,worker,size,compartment,deposition.fraction
15y,FALSE,0.003,ET2,0.3579
15y,FALSE,0.01,ET2,0.1772
15y,FALSE,0.03,ET2,0.07201
15y,FALSE,0.1,ET2,0.03289
15y,FALSE,0.3,ET2,0.05
15y,FALSE,1,ET2,0.1812
15y,FALSE,3,ET2,0.3411
15y,FALSE,5,ET2,0.3822
15y,FALSE,10,ET2,0.3856
15y,FALSE,0.001,ETseq,0.0002281
15y,FALSE,0.003,ETseq,0.0001791
15y,FALSE,0.01,ETseq,8.865e-05
15y,FALSE,0.03,ETseq,3.603e-05
15y,FALSE,0.1,ETseq,1.646e-05
15y,FALSE,0.3,ETseq,2.502e-05
15y,FALSE,1,ETseq,9.065e-05
15y,FALSE,3,ETseq,0.0001707
15y,FALSE,5,ETseq,0.0001912
15y,FALSE,10,ETseq,0.0001929
15y,FALSE,0.001,ET1,0.4153
15y,FALSE,0.003,ET1,0.3152
15y,FALSE,0.01,ET1,0.1475
15y,FALSE,0.03,ET1,0.06015
15y,FALSE,0.1,ET1,0.02922
15y,FALSE,0.3,ET1,0.04415
15y,FALSE,1,ET1,0.1391
15y,FALSE,3,ET1,0.2613
15y,FALSE,5,ET1,0.2994
15y,FALSE,10,ET1,0.3129
10y,FALSE,0.001,AI1,9.234e-05
10y,FALSE,0.003,AI1,0.004962
10y,FALSE,0.01,AI1,0.06906
10y,FALSE,0.03,AI1,0.1375
10y,FALSE,0.1,AI1,0.08016
10y,FALSE,0.3,AI1,0.04113
10y,FALSE,1,AI1,0.02854
10y,FALSE,3,AI1,0.02027
10y,FALSE,5,AI1,0.014
10y,FALSE,10,AI1,0.006297
10y,FALSE,0.001,AI2,0.0001847
10y,FALSE,0.003,AI2,0.009924
10y,FALSE,0.01,AI2,0.1381
10y,FALSE,0.03,AI2,0.2749
10y,FALSE,0.1,AI2,0.1603
10y,FALSE,0.3,AI2,0.08226
10y,FALSE,1,AI2,0.05708
10y,FALSE,3,AI2,0.04054
10y,FALSE,5,AI2,0.028
10y,FALSE,10,AI2,0.01259
10y,FALSE,0.001,AI3,3.078e-05
10y,FALSE,0.003,AI3,0.001654
10y,FALSE,0.01,AI3,0.02302
10y,FALSE,0.03,AI3,0.04582
10y,FALSE,0.1,AI3,0.02672
10y,FALSE,0.3,AI3,0.01371
10y,FALSE,1,AI3,0.009513
10y,FALSE,3,AI3,0.006757
10y,FALSE,5,AI3,0.004667
10y,FALSE,10,AI3,0.002099
10y,FALSE,0.001,bb1,0.01733
10y,FALSE,0.003,bb1,0.07612
10y,FALSE,0.01,bb1,0.1305
10y,FALSE,0.03,bb1,0.07789
10y,FALSE,0.1,bb1,0.03677
10y,FALSE,0.3,bb1,0.01685
10y,FALSE,1,bb1,0.008558
10y,FALSE,3,bb1,0.007228
10y,FALSE,5,bb1,0.006226
10y,FALSE,10,bb1,0.003962
10y,FALSE,0.001,bb2,0.01758
10y,FALSE,0.003,bb2,0.0772
10y,FALSE,0.01,bb2,0.1323
10y,FALSE,0.03,bb2,0.079
10y,FALSE,0.1,bb2,0.03729
10y,FALSE,0.3,bb2,0.01709
10y,FALSE,1,bb2,0.008343
10y,FALSE,3,bb2,0.005671
10y,FALSE,5,bb2,0.004111
10y,FALSE,10,bb2,0.001953
10y,FALSE,0.001,bbseq,0.0002461
10y,FALSE,0.003,bbseq,0.001081
10y,FALSE,0.01,bbseq,0.001853
10y,FALSE,0.03,bbseq,0.001106
10y,FALSE,0.1,bbseq,0.0005221
10y,FALSE,0.3,bbseq,0.0002393
10y,FALSE,1,bbseq,0.0001191
10y,FALSE,3,bbseq,9.093e-05
10y,FALSE,5,bbseq,7.287e-05
10y,FALSE,10,bbseq,4.17e-05
10y,FALSE,0.001,BB1,0.03235
10y,FALSE,0.003,BB1,0.05043
10y,FALSE,0.01,BB1,0.03313
10y,FALSE,0.03,BB1,0.01301
10y,FALSE,0.1,BB1,0.00598
10y,FALSE,0.3,BB1,0.003838
10y,FALSE,1,BB1,0.006048
10y,FALSE,3,BB1,0.009518
10y,FALSE,5,BB1,0.009717
10y,FALSE,10,BB1,0.00776
10y,FALSE,0.001,BB2,0.0328
10y,FALSE,0.003,BB2,0.05115
10y,FALSE,0.01,BB2,0.0336
10y,FALSE,0.03,BB2,0.01319
10y,FALSE,0.1,BB2,0.006065
10y,FALSE,0.3,BB2,0.003882
10y,FALSE,1,BB2,0.005541
10y,FALSE,3,BB2,0.006311
10y,FALSE,5,BB2,0.005019
10y,FALSE,10,BB2,0.002587
